error: Dec-18-2022 10:30:32: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:30:36: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:31:00: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:31:16: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:33:47: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:33:51: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:34:15: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 10:37:22: 	Server started and running on  8080
info: Dec-18-2022 10:38:20: 	Server started and running on  8080
info: Dec-18-2022 10:39:16: 	Server started and running on  8080
info: Dec-18-2022 10:39:36: 	Server started and running on  8080
info: Dec-18-2022 10:40:01: 	Server started and running on  8080
info: Dec-18-2022 10:42:54: 	Server started and running on  8080
info: Dec-18-2022 10:43:10: 	Server started and running on  8080
error: Dec-18-2022 10:43:16: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 10:43:58: 	Server started and running on  8080
info: Dec-18-2022 10:45:54: 	Server started and running on  8080
error: Dec-18-2022 10:46:06: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:46:12: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:46:37: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:46:41: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:47:03: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:47:08: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:47:16: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 10:49:41: 	Server started and running on  8080
info: Dec-18-2022 10:50:34: 	Server started and running on  8080
error: Dec-18-2022 10:51:06: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:51:10: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:51:15: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 10:51:23: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 11:00:08: 	Server started and running on  8080
info: Dec-18-2022 11:02:03: 	Server started and running on  8080
info: Dec-18-2022 11:02:50: 	Server started and running on  8080
info: Dec-18-2022 11:06:29: 	Server started and running on  8080
info: Dec-18-2022 11:07:37: 	Server started and running on  8080
error: Dec-18-2022 11:08:37: 	422 - Unprocessable Entity - This student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 11:09:41: 	Server started and running on  8080
info: Dec-18-2022 11:12:27: 	Server started and running on  8080
info: Dec-18-2022 11:16:43: 	Server started and running on  8080
error: Dec-18-2022 11:17:13: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 11:17:19: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 11:17:24: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 11:17:30: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 11:18:06: 	Server started and running on  8080
info: Dec-18-2022 11:18:25: 	Server started and running on  8080
error: Dec-18-2022 11:19:04: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
error: Dec-18-2022 11:19:24: 	409 - Conflict - Student is already admitted - /api/v1/admit_student/school?school_id=639e4b54bbde0ef37715f524 - POST - ::1
info: Dec-18-2022 11:19:39: 	Server started and running on  8080
